Year,ticketsSold,totalRevenue,totalNewMovies,totalMovie,ticketPrice,firsFilm,IMDBpoints
2016,58287316,691696424 ,360,529,11.87,Dağ 2,9.8
2015,60228409,678557824 ,402,530,11.27,Düğün Dernek 2: Sünnet,6.7
2014,61245258,652906723 ,359,559,10.66,Recep İvedik 4,4.0
2013,50295757,504346814 ,326,501,10.03,Düğün Dernek,7.4
2012,44339549,425630479 ,290,494,9.6,Fetih 1453,7.2
2011,42294040,398294091 ,291,432,9.42,Eyyvah Eyvah 2,6.8
2010,41534146,383369769 ,247,379,9.23,New York'ta Beş Minare,6.0
2009,36904345,307972617 ,254,363,8.35,Recep İvedik 2,4.3
2008,38414342,301505935 ,266,389,7.85,Recep İvedik,4.8
2007,31151309,242328644 ,256,398,7.78,Beyaz Melek,6.4
2006,34866233,243265499,236,420,6.98,Kurtlar Vadisi: Irak,6.0
2005,27801041,184286246 ,223,355,6.63,Hababam Sınıfı Askerde,2.9
